id,type,priority,title,url,target_dir,status,notes
H002,heim_primary,1,"Vorschlag eines Weges zur einheitlichen Beschreibung der Elementarteilchen","https://burkhardheim.de/assets/ZNA-1977-32a-0233%20Heim%20Vorschlag%20einheitliche%20Beschreibung%20E-Teilchen.pdf","01_sources/heim_primary","downloaded","Relevant early particle-physics text; verify bibliographic metadata."
H003,heim_primary,2,"Elementarstrukturen der Materie 1","https://burkhardheim.de/assets/Burkhard%20Heim%20-%201998%20-%20Elementarstrukuren%20der%20Materie%201.pdf","01_sources/heim_primary","downloaded","Large source; verify edition and copyright context."
H004,heim_primary,2,"Elementarstrukturen der Materie 2","https://burkhardheim.de/assets/Burkhard%20Heim%20-%201996%20-%20Elementarstrukuren%20der%20Materie%202.pdf","01_sources/heim_primary","downloaded","Large source; verify edition and copyright context."
H005,heim_primary,3,"Basic thoughts on a unified field theory of matter and gravity 1976","https://burkhardheim.de/assets/Burkhard%20Heim%20-%20Basic%20thoughts%20on%20a%20unified%20field%20theory%20of%20matter%20and%20gravity%201976.pdf","01_sources/heim_primary","downloaded","Useful orientation text; English version with caveats."
H006,heim_primary,1,"Massenformel nach B. Heim 1982","https://burkhardheim.de/assets/Massenformel_nach_B_Heim_1982.pdf","01_sources/heim_primary","downloaded","High priority for first audit."
H007,heim_primary,1,"Erweiterte Massenformel nach Heim 1989","https://burkhardheim.de/assets/Erweiterte_Massenformel_Nach_Heim_1989.pdf","01_sources/heim_primary","downloaded","High priority for first audit."
H008,heim_primary,1,"Heim 1989 Massenformel spreadsheet","https://burkhardheim.de/assets/Heim_1989_Massenformel_0.4.xlsm","01_sources/heim_primary","downloaded","Check macros before opening; treat as untrusted file."
H009,heim_primary,1,"massformula89 zip","https://burkhardheim.de/assets/massformula89.zip","01_sources/heim_primary","downloaded","Do not execute contents before inspection."
H010,heim_primary,1,"massformula zip","https://burkhardheim.de/assets/massformula.zip","01_sources/heim_primary","downloaded","Do not execute contents before inspection."
M001,mainstream_reference,1,"Particle Data Group Review of Particle Physics 2025","https://pdg.lbl.gov/","01_sources/mainstream_reference","link-only","Use API/data files where available instead of scraping."
M002,mainstream_reference,1,"NIST CODATA 2022 constants","https://physics.nist.gov/cuu/Constants/","01_sources/mainstream_reference","link-only","Use values with units and uncertainty."
M003,mainstream_reference,3,"HEPData","https://www.hepdata.net/","01_sources/mainstream_reference","link-only","Only needed if a specific observable/signature is tested."
M004,mainstream_reference,4,"CERN Open Data","https://opendata.cern.ch/","01_sources/mainstream_reference","link-only","Too large for phase 1; use only for concrete analyses."
