priority,formula_id,source_pdf,source_text,source_lines,image_dir,check_type,status,notes
1,HT-F-1982-MU,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","150-164","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Checked against page-04.png; OCR was damaged, formula transcribed from readable page image"
1,HT-F-1982-AUX,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","169-220","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Image transcription pass completed for visible glyphs on page-04.png and page-05.png; Phi precedence and symbol roles resolved by normalization decisions"
1,HT-F-1982-SELECTION,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","226-248","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Checked only core formulas XIII-XV against page-06.png; continuation formulas XVI ff., W_nu_x/a_nu_x/b_nu_x/N/tuple algorithm remain open"
1,HT-F-1982-SELECTION-WVX,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","250-356","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; image transcription covers pages 6-8 only; A-matrix slash binding normalized separately by NORM-1982-WVX-A-MATRIX-SLASH-BINDING"
1,HT-F-1982-SELECTION-N,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","357-388","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Worker conflict resolved by high-res page-8 crops; source-local vx notation, sqrt(N(N-2)), doubled plus, and printed XVII label preserved"
1,HT-F-1982-SELECTION-ALGO,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","395-435","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; includes Vermerk decimal-place rule and excludes Grenzen der Resonanzspektren / XXXII"
1,HT-F-1982-MASS,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","222-224","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; source image is page-05.png, visible µα+ normalized as mass alpha-plus product, and underlined G is preserved"
2,HT-F-1989-QX,"01_sources/heim_primary/Erweiterte_Massenformel_Nach_Heim_1989.pdf","07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","61-66","07_outputs/source_check_images/1989_erweiterte_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; C/k normalized by NORM-1989-QX-C-OVER-K; stacked parenthesis notation in B1 resolved by NORM-STACKED-BINOMIAL"
2,HT-F-1989-MASS,"01_sources/heim_primary/Erweiterte_Massenformel_Nach_Heim_1989.pdf","07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","70-87","07_outputs/source_check_images/1989_erweiterte_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; B3 final term 4 q alpha_minus confirmed, B4 scoped as alpha dependency by NORM-1989-MASS-B4-DEPENDENCY-SCOPE"
2,HT-F-1989-FPHI,"01_sources/heim_primary/Erweiterte_Massenformel_Nach_Heim_1989.pdf","07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","87-147","07_outputs/source_check_images/1989_erweiterte_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; B49 outer decomposition documented and BUW preserved opaque, while B49 inner scopes, B50/B8/B13 remain high-risk normalization items"
2,HT-F-1989-ALPHA,"01_sources/heim_primary/Erweiterte_Massenformel_Nach_Heim_1989.pdf","07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","449-483","07_outputs/source_check_images/1989_erweiterte_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; B59 full equality chain and branch notation preserved"
2,HT-F-1989-NEUTRINO,"01_sources/heim_primary/Erweiterte_Massenformel_Nach_Heim_1989.pdf","07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","491-554","07_outputs/source_check_images/1989_erweiterte_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; range extended to complete final sentence and Heim interpretation kept separate from modern validation"
3,HT-F-1982-QNUM,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","61-81","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; underlined Q(P) rows normalized as no-binding default; stacked parenthesis notation resolved by NORM-STACKED-BINOMIAL"
3,HT-F-1982-ALPHA,"01_sources/heim_primary/Massenformel_nach_B_Heim_1982.pdf","07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","117-147","07_outputs/source_check_images/1982_massenformel",image_vs_ocr,checked,"Worker packets plus Critic review completed; reciprocal alpha branch values and beta abbreviation image-confirmed"
