formula_id,title,source_class,status,source_file,source_lines,depends_on,outputs,implementation_status,risk
HT-F-1982-QNUM,"1982 quantization/quantum-number definitions",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","61-81","k, epsilon, P, Q, kappa, x","G, B, P1, P2, I, Q(P), C, qx, q","not_implemented","Critic-ready image transcription; underlined Q(P) rows normalized by NORM-1982-QNUM-QOF-P-BINDING with no default P1/P2 binding; stacked parenthesis notation resolved by NORM-STACKED-BINOMIAL as choose(P,2)"
HT-F-1982-ALPHA,"1982 fine-structure equation and alpha branches",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","117-147","eta, eta_kq, vartheta, A1, A2","alpha_plus, alpha_minus, beta","not_implemented","Critic-ready image transcription; eta aliases resolved by NORM-1982-ETA-INDEX; positive alpha reciprocal handled by variants in NORM-1982-ALPHA-RECONCILIATION; negative branch residual documented by NORM-1982-ALPHA-NEGATIVE-BRANCH"
HT-F-1982-MU,"1982 mass element mu",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","150-164","pi, hbar, c, gamma, s0","mu","not_implemented","Image check resolves OCR damage; still depends on historical constants and IGW 2003 transcription provenance"
HT-F-1982-AUX,"1982 auxiliary eta/N/Q/K/G/H/Phi functions",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","169-220","k, q_abs_charge_1982, alpha_bare_1982, alpha_mass_plus_1982, alpha_mass_minus_1982, eta, xi, P_isospin_1982, Q_spin_1982, kappa_doublet_1982, n1..n4, Q1..Q4_aux_1982","eta, t, eta_qk, N1..N3, Q1..Q4_aux_1982, K_aux_1982, G_aux_1982, H_aux_1982, Phi_aux_1982","not_implemented","Image transcription pass completed for visible glyphs; eta_qk alias resolved by NORM-1982-ETA-INDEX; Phi precedence resolved by NORM-1982-AUX-PHI-PRECEDENCE; symbol roles resolved by NORM-1982-AUX-SYMBOL-ROLES"
HT-F-1982-MASS,"1982 unified mass spectrum",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","222-224","mu_mass_element_1982, alpha_mass_plus_1982, K_aux_1982, G_aux_1982, H_aux_1982, Phi_aux_1982","M_1982","not_implemented","Critic-ready image transcription from page-05; source-visible µα+ normalized by NORM-1982-MASS-MU-ALPHA-PLUS; underlined G preserved as typography only"
HT-F-1982-SELECTION,"1982 occupation selection rule core",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","226-248","n1..n4, Q1..Q4_aux_1982, alpha_selection_coeff_1_2_3_1982, W_nu_x, w_nu_x, a_nu_x, b_nu_x, N, k, kappa_doublet_1982, Q_spin_1982","selection-equation constraint, g(qk), W_nu_x","not_implemented","Checked only core formulas XIII-XV; rightmost alpha_3 in XIII resolved by NORM-1982-SELECTION-XIII-ALPHA3; iF(Gamma) resolved for N=0/N>=2 by NORM-1982-SELECTION-IF-GAMMA"
HT-F-1982-SELECTION-WVX,"1982 structure potency and resonance basis",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","250-356","k, P, Q, kappa, epsilon, q, qx, eta_qk, eta, alpha, beta, xi, A11..A66","w_nu_x, w(1), w(2), a_nu_x, a_n, a_q, b_nu_x, A11..A66","not_implemented","Critic-ready image transcription from pages 6-8; A-matrix slash binding resolved by NORM-1982-WVX-A-MATRIX-SLASH-BINDING; dense exponent transcription preserved for implementation audit"
HT-F-1982-SELECTION-N,"1982 resonance order and N cases",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","357-388","N, f(N), Q_N_1982, k, kappa, a_vx, b_vx, W_vx, n1..n4, Q1..Q4, alpha1..alpha3, Gamma","f(N), N=0 rule, N=1 real/imag parts, N>=2 resonance rule","not_implemented","Worker conflict resolved by high-res page-8 crops; source-local vx notation preserved; doubled plus normalized by NORM-1982-SELECTION-N-DOUBLE-PLUS; Q_N_1982 remains unresolved by NORM-1982-N-GAMMA-QN-BLOCKER"
HT-F-1982-SELECTION-ALGO,"1982 occupation tuple algorithm and W4 cases",near_primary,source_checked,"07_outputs/extracted_text/Massenformel_nach_B_Heim_1982.txt","395-435","W_vx, f(N), N, Q_base_1982, alpha1..alpha3, Q1..Q4, K1..K4, n_j, Phi_vx","W1..W4, K1..K4, n_j, W4 cases, K_j decimal-place rule","not_implemented","Critic-ready image transcription from page 9; Q_base_1982, K_j integerization, W4 cases, and upstream WVX slash binding are normalization-scoped; Gamma/Q_N dependency still blocks full numeric use"
HT-F-1989-QX,"1989 modified charge-number equation",near_primary,source_checked,"07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","61-66","k, P, Q, kappa, x, epsilon, C","q_x","not_implemented","Critic-ready image transcription; C/k normalized as C_1989=C_1982/k by NORM-1989-QX-C-OVER-K; stacked parenthesis notation in B1 resolved by NORM-STACKED-BINOMIAL as choose(P,2)"
HT-F-1989-MASS,"1989 modified mass formula",near_primary,source_checked,"07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","70-87","mu, alpha_plus_1989, G, S, F, Phi, q, alpha_minus_1989","M","not_implemented","Critic-ready image transcription confirms B3 final term 4 q alpha_minus; B4 resolved as mass-record dependency boundary by NORM-1989-MASS-B4-DEPENDENCY-SCOPE; executable alpha computation remains under NORM-1989-ALPHA-001"
HT-F-1989-FPHI,"1989 F/Phi/self-coupling terms",near_primary,source_checked,"07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","87-147","n,m,p,sigma,Qn,Qm,Qp,Qs,N_i,phi","F, Phi, phi, U, Z, N3, N4, N5, N6, A, N(k), N'(k)","not_implemented","Critic-ready image transcription; B49 outer decomposition documented but inner compact scopes remain blocked; BUW remains opaque; B50 double minus preserved as sign anomaly; B13 internal leading 4 preserved"
HT-F-1989-ALPHA,"1989 exact fine-structure constant",near_primary,source_checked,"07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","449-483","eta, theta, K_alpha, D_prime","alpha_plus, alpha_minus","not_implemented","Critic-ready image transcription; B59 full equality chain replaces old shortcut, branch notation and 2002 comparison remain source-context risks"
HT-F-1989-NEUTRINO,"1989 neutrino field-mass formula",near_primary,source_checked,"07_outputs/extracted_text/Erweiterte_Massenformel_Nach_Heim_1989.txt","491-554","mu, alpha_plus, Phi, phi0, k, P, Q, kappa","M_nu, neutrino state list","not_implemented","Critic-ready image transcription; source range extended to complete final sentence, with Heim neutrino interpretation kept separate from modern validation"
