particle,symbol,heim_value_mev,heim_source_class,heim_source_detail,modern_value_mev,modern_uncertainty_mev,difference_modern_minus_heim_mev,relative_error_percent,uncertainty_sigma,claim_status,notes
electron,e,0.51100343,near_primary_table,"Basic_thoughts_1976 Addendum Particle Masses",0.51099895069,0.00000000016,-0.00000447931,0.000876578,-27995.6875,ambiguous,"1976 addendum table compares against already-known 1976 RMP value"
muon,mu,105.65948493,near_primary_table,"Basic_thoughts_1976 Addendum Particle Masses",105.6583755,0.0000023,-0.00110943,0.00104999,-482.36087,ambiguous,"1976 addendum table compares against already-known 1976 RMP value"
proton,p,938.27959246,near_primary_table,"Basic_thoughts_1976 Addendum Particle Masses",938.27208943,0.00000029,-0.00750303,0.00079966,-25872.51724,ambiguous,"1976 addendum table compares against already-known 1976 RMP value"
neutron,n,939.57336128,near_primary_table,"Basic_thoughts_1976 Addendum Particle Masses",939.56542194,0.00000048,-0.00793934,0.00084501,-16540.29167,ambiguous,"1976 addendum table compares against already-known 1976 RMP value"
electron,e,0.5109858460605422,static_spreadsheet_export,"Heim_1989_Massenformel_0.4.xlsm sheet Vergleich cached values",0.51099895069,0.00000000016,0.0000131046294578,-0.00256451,-81903.93411,tabellenreproduktion,"Spreadsheet uses CODATA 2014 comparison values; not a primary proof"
muon,mu,105.65584979541082,static_spreadsheet_export,"Heim_1989_Massenformel_0.4.xlsm sheet Vergleich cached values",105.6583755,0.0000023,0.00252570458919,-0.00239044,-1098.13243,tabellenreproduktion,"Spreadsheet uses CODATA 2014 comparison values; not a primary proof"
proton,p,938.2473088697288,static_spreadsheet_export,"Heim_1989_Massenformel_0.4.xlsm sheet Vergleich cached values",938.27208943,0.00000029,0.0247805602712,-0.00264108,-85450.20783,tabellenreproduktion,"Spreadsheet uses CODATA 2014 comparison values; not a primary proof"
neutron,n,939.54074048486,static_spreadsheet_export,"Heim_1989_Massenformel_0.4.xlsm sheet Vergleich cached values",939.56542194,0.00000048,0.02468145514,-0.0026269,-51419.69821,tabellenreproduktion,"Spreadsheet uses CODATA 2014 comparison values; not a primary proof"
tau,tau,1783.430,near_primary_table,"Elementarstrukturen der Materie 2 Tabellenanhang; OCR: tau-like state as mu-resonance N=2",1776.93,0.09,-6.5,0.36579944,72.22222222,ambiguous,"Needs original page check; appears not as Grundmuster but as resonance"
W_boson,W,80810.27,near_primary_table,"Elementarstrukturen der Materie 2 Tabellenanhang; possible a(W) branch",80369.2,13.3,-441.07,0.54880477,33.16315789,ambiguous,"Branch choice and historical W data status must be checked"
W_boson,W,80815.37,near_primary_table,"Elementarstrukturen der Materie 2 Tabellenanhang; possible beta(W) branch",80369.2,13.3,-446.17,0.55515048,33.54661654,ambiguous,"Branch choice and historical W data status must be checked"
Z_boson,Z,92901.85,near_primary_table,"Elementarstrukturen der Materie 2 Tabellenanhang; possible a(Z) branch",91188.0,2.0,-1713.85,1.87946879,856.925,ambiguous,"Branch choice and historical Z data status must be checked"
Z_boson,Z,92901.28,near_primary_table,"Elementarstrukturen der Materie 2 Tabellenanhang; possible beta(Z) branch",91188.0,2.0,-1713.28,1.87884371,856.64,ambiguous,"Branch choice and historical Z data status must be checked"
